id,name,about,network,followersCount,proposalsCount,gov_model
goatsino.eth,GOATsino,"Avalanche’s first decentralized house casino. Play slots, rock paper scissors, and more. Stake $GOAT to earn $AVAX and ecosystem tokens. http://t.me/GoatAVAX",43114,10,1,hybrid
info.sonic,Sonic Network $S,The official governance space for the Sonic Network,146,18,0,hybrid
arc.market,Arc.ai,"Arc.ai powers $ARC on ETH a utility token. Utilities include Earn with ARC, access to your own encrypted AI, Revenue share & Voting.",1,0,1,hybrid
meta-whale-ai.eth,Meta Whale,Welcome to Meta Whale DAO - the world of decentralized solutions! Join a community where every voice matters. Let's build a decentralized world together!,1,53,1,hybrid
kaistdao.eth,Web3@KAIST Class DAO,What if we made class a DAO? This is a place to experiment with a DAO in class. Web3@KAIST teaches blockchain and Web3 tech & biz to KAIST students since 2023.,8453,7,6,hybrid
leviathannews.eth,Squid DAO,"Decentralized Crypto News, Powered by SQUID
https://leviathannews.xyz/",1,17,6,hybrid
lumiterra.eth,Lumiterra,Lumiterra Community,1,58,6,hybrid
sparkfi.eth,Spark,"⚡️Powering DeFi with $2.6B+ in liquidity. Supply/borrow/earn with competitive rates, seamless access, and scalable liquidity. Spark: Onchain Capital Allocator.",1,2,0,hybrid
bone.shib,Bone DAO,"Bone DAO powers Shibarium’s tech evolution—veBONE stakers vote on upgrades, contract changes, network improvements, and key technical integrations.
",109,18,5,hybrid
merchminter.eth,MerchMinter,A token-backed SaaS platform specializing in global merchandise distribution on Amazon for everyone in the crypto space.,1,28,3,hybrid
pinfts.eth,POC Network,"In partnership with Pi Network, we use Proof of Contribution (POC) to reward efforts, ensure transparency, and build a decentralized ecosystem.",137,74,3,hybrid
treat146b.eth,TREAT 146b DAO,Shape TREAT 146b’s future! Token holders vote on proposals via Snapshot. Join our community to share ideas & build together! ideas & build together!,1,1,3,token
sdzero.eth,sdZERO,sdZERO meta governance platform for vote replication on ZeroLend,59144,0,0,hybrid
sdspectra.eth,sdSPECTRA,sdSPECTRA meta governance platform for vote replication on Spectra,8453,1,51,hybrid
aavedao.eth,Aave DAO,,1,156579,867,hybrid
puffpaw.eth,Puffpaw,,42161,17,1,hybrid
arcadiafi.eth,Arcadia Finance,"Arcadia is a DeFi asset management protocol.
Community members with delegated $AAA are eligible to vote.",8453,134,4,delegated
defi.app,Defi App,"Swap, Earn, Leverage, Lend - Defi App does it all.",8453,160,5,hybrid
cosmixdao.eth,CosmiX DAO,CosmiX DAO is a sk-cz community that helps each other by sharing information from the Crypto /NFT space; .. and CosmiXverse is what we are building!,1,5,2,hybrid
baci-election.eth,BACI,Blockchain Association of the Cayman Islands election space,1,2,6,hybrid
ethos-labs.eth,Ethos,Ethos will use this space for voting on upcoming changes to credibility score. This is governance-lite; the team still owns full direction of implementation.,8453,452,10,hybrid
elixirfnd.eth,Elixir,The official snapshot and idea medium for the Elixir Network. Potential proposals are community-based and not endorsed by the Elixir Foundation.,1,366,4,token
lightofhope.eth,LIGHT OF HOPE,"Charitable DAO: transparent, efficient Web3 funding for humanitarian and social initiatives. Join Telegram https://t.me/lightofhopeDAO",1,7,13,hybrid
bsx.eth,BSX DAO,The official snapshot space for BSX DAO. Community members with delegated $BSX are eligible to vote.,8453,11,1,delegated
shroomydev.eth,Shroomy Project,The Shroomocracy is here! DAO governance for the Shroomy Project on Ink chain.,57073,92,5,hybrid
retrofunding.eth,Optimism Retro Funding,This space was set up to host the algorithm selection for Retro Funding in Season 7. It has a different voting strategy than the Citizens' House space.,10,34,2,hybrid
amasa-io.eth,Amasa,"Amasa is DeFi on easy mode. 
A simple and automated way for users to channel earnings on web3 into a custom portfolio, to stabilize or amplify value over time.",1,53,3,hybrid
chain-project.eth,Chain Project,DAO化についての投票を、メインcollection保有数に応じた投票により決議していきます,137,40,18,hybrid
pizza.rugbuster.eth,Pizza Board Room,If a vote is needed or decentralizations are required. Using $SLICES to determine voting power,146,9,10,hybrid
rwokdao.eth,RWOK CAPITAL DAO,a dao investing in EVM Remilia Assets,8453,34,50,hybrid
nodle.eth,Nodle Network,The Nodle Network is a global digital trust network enabling individuals and organizations to connect and verify reality using their smartphones.,1,166,2,hybrid
usualmoney.eth,Usual,"Usual is a secure and decentralized fiat-backed (RWA) stablecoin issuer that redistributes value and ownership through the $USUAL token. 

Time is Ownership.",1,125,8,hybrid
holiverse.eth,Holiverse,Welcome to Holiverse DAO - the world of decentralized solutions! Join a community where every voice matters. Let's build a decentralized world together!,1,94,1,hybrid
chatnetdotfun.eth,ChatNet DAO,"ChatNet is a decentralized message board launchpad on Avalanche.
The $CHAT DAO will be used to manage 5% of the $CHAT supply.",43114,88,2,hybrid
fyde.eth,Fyde Labs,"Fyde models on-chain risk parameters, incentive mechanisms, and protocol stress-tests to secure and scale decentralized systems.",1,8,28,algorithmic
governance.hardwaire.eth,HardwAIre DAO,"HardwAIre DAO is a community-driven initiative dedicated to providing accessible hardware resources for AI researchers, developers, and pioneers.",1,4,0,hybrid
pinkonomic.eth,PINKONOMIC,"🎀 Think PINK
🕹 Game + Meme = GAMEME ",1284,4,1,hybrid
alternates.eth,Alternates,"Alternates is a fast-paced FPS delivering intense action across multiple modes and maps, merging web3 technology and NFT integration.",33139,5,1,hybrid
shironekotoken.eth,Shiro Neko,Join Shiro on his journey in a whole new and immersive way! Select & vote how Shiro will prove himself & leave his mark on the crypto universe.,1,29,8,hybrid
skyhighcapital.eth,Sky High Capital,SHC is a game and business development community of investors who are building some amazing web3 experiences and games. ,1,7,15,hybrid
stellaxyz-v2.eth,Stellaxyz.io (V2),LeverageFi protocol: https://stellaxyz.io | Governance forum: https://stella.discourse.group | Deprecated snapshot: https://snapshot.org/#/s:stellaxyz.eth,56,1,1,token
